Roll Number,Name,Date,Calculus, PDT,  DBMS,  Python,   Econometrics
232201,Jack,01-06-2023,1,0,1,1,0
232201,Jack,02-06-2023,1,0,1,1,1
232201,Jack,03-06-2023,1,1,1,1,1
232201,Jack,04-06-2023,1,1,1,1,1
232201,Jack,05-06-2023,0,0,1,1,1
232201,Jack,06-06-2023,0,0,1,1,1
232201,Jack,07-06-2023,1,1,1,1,1
232201,Jack,08-06-2023,0,0,1,1,1
232201,Jack,09-06-2023,0,1,1,0,1
232201,Jack,10-06-2023,1,0,1,1,1
232201,Jack,11-06-2023,0,1,1,1,1
232201,Jack,12-06-2023,0,1,1,1,0
232201,Jack,13-06-2023,0,1,1,1,1
232201,Jack,14-06-2023,0,1,1,1,1
232201,Jack,15-06-2023,0,0,1,1,1
232201,Jack,16-06-2023,1,0,1,1,1
232201,Jack,17-06-2023,1,0,1,1,1
232201,Jack,18-06-2023,0,0,1,1,1
232201,Jack,19-06-2023,1,0,1,1,1
232201,Jack,20-06-2023,1,1,1,1,1
232201,Jack,21-06-2023,1,1,1,1,0
232201,Jack,22-06-2023,0,0,1,1,1
232201,Jack,23-06-2023,0,1,1,1,1
232201,Jack,24-06-2023,1,1,1,1,1
232201,Jack,25-06-2023,1,1,1,1,1
232201,Jack,26-06-2023,1,0,1,1,1
232201,Jack,27-06-2023,0,1,1,1,1
232201,Jack,28-06-2023,1,0,1,1,1
232201,Jack,29-06-2023,0,0,1,1,1
232201,Jack,30-06-2023,0,1,1,1,0
,,,,,,,
