Roll Number,Name,Date,Calculus, PDT,  DBMS,  Python,   Econometrics
232205,Saul Goodman,01-06-2023,1,0,0,1,1
232205,Saul Goodman,02-06-2023,1,1,1,1,1
232205,Saul Goodman,03-06-2023,1,0,1,1,1
232205,Saul Goodman,04-06-2023,1,1,1,1,1
232205,Saul Goodman,05-06-2023,1,1,1,1,1
232205,Saul Goodman,06-06-2023,1,0,1,1,0
232205,Saul Goodman,07-06-2023,1,1,1,1,1
232205,Saul Goodman,08-06-2023,1,1,0,1,1
232205,Saul Goodman,09-06-2023,1,1,1,1,1
232205,Saul Goodman,10-06-2023,1,1,1,1,1
232205,Saul Goodman,11-06-2023,1,1,0,1,1
232205,Saul Goodman,12-06-2023,1,1,1,1,1
232205,Saul Goodman,13-06-2023,1,1,1,1,1
232205,Saul Goodman,14-06-2023,0,1,0,1,1
232205,Saul Goodman,15-06-2023,1,1,1,1,1
232205,Saul Goodman,16-06-2023,1,1,1,1,1
232205,Saul Goodman,17-06-2023,1,1,1,1,1
232205,Saul Goodman,18-06-2023,1,1,1,1,1
232205,Saul Goodman,19-06-2023,1,0,1,1,1
232205,Saul Goodman,20-06-2023,1,0,1,1,1
232205,Saul Goodman,21-06-2023,1,0,1,1,1
232205,Saul Goodman,22-06-2023,1,0,1,1,1
232205,Saul Goodman,23-06-2023,1,1,1,1,1
232205,Saul Goodman,24-06-2023,1,1,1,1,1
232205,Saul Goodman,25-06-2023,0,0,0,0,0
232205,Saul Goodman,26-06-2023,1,1,1,1,1
232205,Saul Goodman,27-06-2023,1,1,1,1,1
232205,Saul Goodman,28-06-2023,1,0,1,1,1
232205,Saul Goodman,29-06-2023,1,1,1,1,1
232205,Saul Goodman,30-06-2023,1,1,0,1,1
